1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E10000007BE97941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 10 15:51:01 PDT 2022
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue May 10 15:51:01 PDT 2022
Total Mission Samples:  8192
Total Device Samples:  29721
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/15/22, 8:51:01 AM,C,17.654
5/15/22, 9:21:01 AM,C,20.158
5/15/22, 9:51:01 AM,C,23.662
5/15/22, 10:21:01 AM,C,24.662
5/15/22, 10:51:01 AM,C,28.161
5/15/22, 11:21:01 AM,C,28.161
5/15/22, 11:51:01 AM,C,31.157
5/15/22, 12:21:01 PM,C,28.661
5/15/22, 12:51:01 PM,C,30.159
5/15/22, 1:21:01 PM,C,25.662
5/15/22, 1:51:01 PM,C,30.159
5/15/22, 2:21:01 PM,C,25.662
5/15/22, 2:51:01 PM,C,28.161
5/15/22, 3:21:01 PM,C,24.662
5/15/22, 3:51:01 PM,C,24.162
5/15/22, 4:21:01 PM,C,26.162
5/15/22, 4:51:01 PM,C,23.161
5/15/22, 5:21:01 PM,C,22.161
5/15/22, 5:51:01 PM,C,20.158
5/15/22, 6:21:01 PM,C,18.155
5/15/22, 6:51:01 PM,C,16.651
5/15/22, 7:21:01 PM,C,16.15
5/15/22, 7:51:01 PM,C,14.144
5/15/22, 8:21:01 PM,C,12.639
5/15/22, 8:51:01 PM,C,11.133
5/15/22, 9:21:01 PM,C,10.129
5/15/22, 9:51:01 PM,C,10.631
5/15/22, 10:21:01 PM,C,10.129
5/15/22, 10:51:01 PM,C,10.631
5/15/22, 11:21:01 PM,C,9.627
5/15/22, 11:51:01 PM,C,9.125
5/16/22, 12:21:01 AM,C,8.12
5/16/22, 12:51:01 AM,C,7.115
5/16/22, 1:21:01 AM,C,7.617
5/16/22, 1:51:01 AM,C,7.617
5/16/22, 2:21:01 AM,C,7.115
