fid,cat,field_1,stream,channel_type,latitude,longitude,max_depth_m,lwd_total,total_shade,undercut_bank_m,dominant_substrate,river_m
"53","53","53",Mahogany Creek,run,41.5442442266995,-119.028520751712,0.28,"0","44",8,sand,4068.67895944676
"54","54","54",Mahogany Creek,riffle,41.5442641331609,-119.028413476372,0.2,"2","52",2,sand,4077.8882616757
"55","55","55",Mahogany Creek,mid-channel,41.544294521221,-119.028222608141,0.35,"1","37",3.5,sand,4094.19992376952
"56","56","56",Mahogany Creek,run,41.5443131589342,-119.028187224857,0.26,"2","21",6.5,sand,4097.4149053391
"57","57","57",Mahogany Creek,debris_pool,41.5444358892231,-119.027867367522,0.24,"0","90",0,sand,4125.80505718778
"58","58","58",Mahogany Creek,scour_pool,41.5444453137187,-119.027843684758,0.4,"1","60",1.5,sand,4127.912049055
"59","59","60",Mahogany Creek,mid-channel,41.5425456818978,-119.006241278242,0.17,"2","83",6,sand,6069.38799742316
"60","60","61",Mahogany Creek,scour_pool,41.5424747126547,-119.006179142126,0.32,"0","93",2.25,sand,6078.39756354999
"61","61","62",Mahogany Creek,riffle,41.5425473548349,-119.006145423235,0.27,"1","97",8.85,sand,6076.23950484947
"62","62","63",Mahogany Creek,scour_pool,41.5424041615888,-119.006093042447,0.23,"0","97",4.5,sand,6089.11979431098
"63","63","64",Mahogany Creek,riffle,41.5423861578779,-119.006092485789,0.13,"4","100",17,sand,6090.30164481888
"64","64","65",Mahogany Creek,mid-channel,41.5422645228312,-119.005836970869,0.23,"1","97",2.7,sand,6116.55920056287
"65","65","66",Mahogany Creek,riffle,41.5422739428436,-119.005813285505,0.17,"0","91",2,gravel,6117.68116694451
"66","66","67",Mahogany Creek,scour_pool,41.5422471463476,-119.005800468815,0.36,"0","81",3.25,sand,6120.31027358325
"67","67","68",Mahogany Creek,riffle,41.5422393989174,-119.005728299594,0.12,"0","92",3,sand,6126.03969321506
"68","68","69",Mahogany Creek,scour_pool,41.5422393989174,-119.005728299594,0.44,"0","87",7.5,sand,6126.03969321506
"69","69","70",Mahogany Creek,riffle,41.5421765949795,-119.005714369848,0.19,"1","92",0,sand,6131.03249293191
"70","70","71",Mahogany Creek,mid-channel,41.542104998244,-119.005688180061,0.27,"1","95",0.65,sand,6137.47261766974
"71","71","72",Mahogany Creek,riffle,41.5421144182252,-119.005664494731,0.09,"6","69",7.5,sand,6138.59455580869
"72","72","73",Mahogany Creek,scour_pool,41.5419354263365,-119.005599020584,0.24,"1","93",3.6,sand,6154.69486555055
