"","stream","channel_type","latitude","longitude","max_depth_m","lwd_total","total_shade","undercut_bank_m","dominant_substrate"
"1","Mahogany Creek","scour_pool",41.5338646436792,-119.049556610072,0.27,0,23,3.5,"sand"
"2","Mahogany Creek","run",41.5338552148522,-119.0495802857,0.17,0,5,0,"sand"
"3","Mahogany Creek","mid-channel",41.5338640028765,-119.049592549927,0.27,0,13,1.4,"sand"
"4","Mahogany Creek","run",41.5339000093817,-119.049593687034,0.23,0,3,3.75,"sand"
"5","Mahogany Creek","riffle",41.5339831599916,-119.049476445795,0.17,0,18,0.36,"sand"
"6","Mahogany Creek","run",41.5339750127193,-119.049428241641,0.27,0,24,1.63,"sand"
"7","Mahogany Creek","riffle",41.5339126420807,-119.049390311975,0.31,0,7,0.45,"sand"
"8","Mahogany Creek","scour_pool",41.5338856371984,-119.049389459229,0.22,0,23,1.3,"sand"
"9","Mahogany Creek","run",41.5338946388258,-119.049389743478,0.26,0,17,8.5,"sand"
"10","Mahogany Creek","scour_pool",41.533940928433,-119.049319284918,0.46,0,15,2.5,"sand"
"11","Mahogany Creek","run",41.5339582909586,-119.04935579331,0.37,0,25,5.5,"sand"
"12","Mahogany Creek","scour_pool",41.5340397327613,-119.049334391545,0.37,0,29,6.5,"sand"
"13","Mahogany Creek","run",41.5340303039782,-119.049358067271,0.33,0,23,0,"gravel"
"14","Mahogany Creek","run",41.534084954475,-119.049323832765,0.32,0,4,3,"sand"
"15","Mahogany Creek","scour_pool",41.534105093426,-119.049204601265,0.36,0,21,2.5,"sand"
"16","Mahogany Creek","run",41.534096518922,-119.049180357046,0.26,0,30,0.8,"sand"
"17","Mahogany Creek","scour_pool",41.5340607259686,-119.049167240169,0.35,0,17,0.5,"sand"
"18","Mahogany Creek","run",41.5340418684651,-119.04921459168,0.34,0,8,2.3,"sand"
"19","Mahogany Creek","mid-channel",41.5340060755155,-119.049201474797,0.44,0,14,5.5,"sand"
"20","Mahogany Creek","run",41.5340350024154,-119.049094507592,0.26,0,28,0,"sand"
"21","Mahogany Creek","scour_pool",41.5421971403054,-119.03783156261,0.3,0,28,4.05,"sand"
"22","Mahogany Creek","run",41.542215143664,-119.037832128068,0.29,0,13,6.8,"sand"
"23","Mahogany Creek","run",41.5421898378828,-119.037735427272,0.32,0,21,18.5,"sand"
"24","Mahogany Creek","mid-channel",41.5422468214747,-119.037569381339,0.29,0,28,2.2,"sand"
"25","Mahogany Creek","run",41.5422648248361,-119.037569946725,0.24,0,34,11,"sand"
"26","Mahogany Creek","scour_pool",41.5423998500446,-119.037574187135,0.26,0,26,1,"sand"
"27","Mahogany Creek","run",41.5424174286303,-119.037598715765,0.24,0,81,0,"sand"
"28","Mahogany Creek","mid-channel",41.5424727130245,-119.037528522178,0.28,0,86,0.5,"sand"
"29","Mahogany Creek","run",41.5424557715557,-119.037468048662,0.2,0,92,3.1,"sand"
"30","Mahogany Creek","riffle",41.5423571778109,-119.037440975962,0.22,0,12,10.4,"sand"
"31","Mahogany Creek","mid-channel",41.5424284711617,-119.036975671364,0.29,0,1,0,"sand"
"32","Mahogany Creek","plunge_pool",41.5424580240127,-119.036832739615,0.54,1,79,0,"sand"
"33","Mahogany Creek","riffle",41.5424689364298,-119.03672518749,0.27,0,18,2,"sand"
"34","Mahogany Creek","scour_pool",41.542479848747,-119.036617635326,0.29,0,48,4.5,"sand"
"35","Mahogany Creek","riffle",41.5424995503743,-119.036522347313,0.15,0,1,4,"sand"
"36","Mahogany Creek","mid-channel",41.5425117360761,-119.03634290518,0.37,0,1,2.1,"sand"
"37","Mahogany Creek","riffle",41.542513221854,-119.036259033651,0.14,0,34,0.33,"gravel"
"38","Mahogany Creek","mid-channel",41.5425320742183,-119.036211672074,0.41,0,5,2.5,"sand"
"39","Mahogany Creek","run",41.5425419248755,-119.036164027969,0.23,0,54,0.4,"sand"
"40","Mahogany Creek","run",41.5445073218962,-119.029943642693,0.3,1,12,7.1,"sand"
"41","Mahogany Creek","riffle",41.5444292686845,-119.029773359101,0.28,0,33,0,"sand"
"42","Mahogany Creek","run",41.5444305381528,-119.029701466802,0.24,3,76,4.3,"sand"
"43","Mahogany Creek","riffle",41.544470141625,-119.029498898312,0.18,5,71,6,"sand"
"44","Mahogany Creek","mid-channel",41.5444814703595,-119.029367377233,0.28,0,35,2.8,"sand"
"45","Mahogany Creek","riffle",41.5445193810607,-119.02926066492,0.12,2,81,6,"sand"
"46","Mahogany Creek","debris_pool",41.5445281712549,-119.029272928555,0.24,2,79,2.5,"sand"
"47","Mahogany Creek","riffle",41.5444291522953,-119.02926983135,0.2,2,0,5,"sand"
"48","Mahogany Creek","scour_pool",41.5442516560645,-119.029120415861,0.4,1,56,2.5,"sand"
"49","Mahogany Creek","riffle",41.5443632723155,-119.028920099638,0.28,0,50,3.2,"gravel"
"50","Mahogany Creek","scour_pool",41.5443281113718,-119.028871045434,0.31,0,50,4.5,"sand"
"51","Mahogany Creek","run",41.5443019521321,-119.028822272783,0.31,0,37,17.5,"sand"
"52","Mahogany Creek","riffle",41.5443047012947,-119.028666506344,0.18,0,38,2.5,"gravel"
"53","Mahogany Creek","run",41.5442442266995,-119.028520751712,0.28,0,44,8,"sand"
"54","Mahogany Creek","riffle",41.5442641331609,-119.028413476372,0.2,2,52,2,"sand"
"55","Mahogany Creek","mid-channel",41.544294521221,-119.028222608141,0.35,1,37,3.5,"sand"
"56","Mahogany Creek","run",41.5443131589342,-119.028187224857,0.26,2,21,6.5,"sand"
"57","Mahogany Creek","debris_pool",41.5444358892231,-119.027867367522,0.24,0,90,0,"sand"
"58","Mahogany Creek","scour_pool",41.5444453137187,-119.027843684758,0.4,1,60,1.5,"sand"
"59","Mahogany Creek","riffle",41.5741436336166,-119.028676706456,0.11,2,90,1,"sand"
"60","Mahogany Creek","mid-channel",41.5425456818978,-119.006241278242,0.17,2,83,6,"sand"
"61","Mahogany Creek","scour_pool",41.5424747126547,-119.006179142126,0.32,0,93,2.25,"sand"
"62","Mahogany Creek","riffle",41.5425473548349,-119.006145423235,0.27,1,97,8.85,"sand"
"63","Mahogany Creek","scour_pool",41.5424041615888,-119.006093042447,0.23,0,97,4.5,"sand"
"64","Mahogany Creek","riffle",41.5423861578779,-119.006092485789,0.13,4,100,17,"sand"
"65","Mahogany Creek","mid-channel",41.5422645228312,-119.005836970869,0.23,1,97,2.7,"sand"
"66","Mahogany Creek","riffle",41.5422739428436,-119.005813285505,0.17,0,91,2,"gravel"
"67","Mahogany Creek","scour_pool",41.5422471463476,-119.005800468815,0.36,0,81,3.25,"sand"
"68","Mahogany Creek","riffle",41.5422393989174,-119.005728299594,0.12,0,92,3,"sand"
"69","Mahogany Creek","scour_pool",41.5422393989174,-119.005728299594,0.44,0,87,7.5,"sand"
"70","Mahogany Creek","riffle",41.5421765949795,-119.005714369848,0.19,1,92,0,"sand"
"71","Mahogany Creek","mid-channel",41.542104998244,-119.005688180061,0.27,1,95,0.65,"sand"
"72","Mahogany Creek","riffle",41.5421144182252,-119.005664494731,0.09,6,69,7.5,"sand"
"73","Mahogany Creek","scour_pool",41.5419354263365,-119.005599020584,0.24,1,93,3.6,"sand"
"74","Mahogany Creek","riffle",41.5419354263365,-119.005599020584,0.14,1,81,3.5,"sand"
"75","Mahogany Creek","run",41.541928305901,-119.005490906431,0.23,0,93,0,"sand"
"76","Mahogany Creek","riffle",41.5419203492327,-119.005430719362,0.21,5,92,14.5,"sand"
"77","Mahogany Creek","scour_pool",41.5416090465178,-119.00520531054,0.31,0,81,0.3,"sand"
"78","Mahogany Creek","riffle",41.5415816229102,-119.005228439356,0.16,0,83,4,"sand"
"79","Mahogany Creek","run",41.5415552443575,-119.005191659653,0.21,3,79,7.3,"sand"
"80","Mahogany Creek","scour_pool",41.532078239842,-118.993391894111,0.55,1,27,6,"sand"
"81","Mahogany Creek","riffle",41.532133290181,-118.993333652678,0.14,1,90,6,"gravel"
"82","Mahogany Creek","scour_pool",41.5321795462787,-118.993263154637,0.24,0,92,3.5,"gravel"
"83","Mahogany Creek","riffle",41.5322245559885,-118.993264536891,0.15,1,92,6.5,"gravel"
"84","Mahogany Creek","scour_pool",41.5322523927177,-118.993217445961,0.32,1,55,0.77,"sand"
"85","Mahogany Creek","riffle",41.5322260100551,-118.993180676428,0.17,2,99,3.25,"sand"
"86","Mahogany Creek","scour_pool",41.5322890236514,-118.993182611508,0.22,2,63,6.15,"sand"
"87","Mahogany Creek","riffle",41.5323696256877,-118.993209059662,0.11,0,92,8,"sand"
"88","Mahogany Creek","run",41.532344281604,-118.993112389622,0.23,3,93,3,"sand"
"89","Mahogany Creek","scour_pool",41.5324165048567,-118.993102620973,0.32,1,71,1,"sand"
"90","Mahogany Creek","riffle",41.5324169202784,-118.993078660769,0.17,2,90,2,"sand"
"91","Mahogany Creek","scour_pool",41.532608453512,-118.992940704112,0.26,1,42,0,"sand"
"92","Mahogany Creek","riffle",41.5326356670368,-118.992929553198,0.1,4,94,15,"sand"
"93","Mahogany Creek","mid-channel",41.5329050302559,-118.992458361321,0.21,1,72,1.5,"sand"
"94","Mahogany Creek","riffle",41.5329506629182,-118.992423802436,0.21,1,85,0,"sand"
"95","Mahogany Creek","mid-channel",41.5329508705611,-118.99241182223,0.22,0,81,0,"sand"
"96","Mahogany Creek","riffle",41.5329717813235,-118.99224465197,0.12,3,87,11,"sand"
"97","Mahogany Creek","scour_pool",41.532837790231,-118.992180606297,0.37,0,87,8,"sand"
"98","Mahogany Creek","riffle",41.5328197863372,-118.992180053684,0.21,5,84,9,"sand"
"99","Mahogany Creek","mid-channel",41.5329438699524,-118.99177631864,0.2,2,81,3,"sand"
"100","Mahogany Creek","mid-channel",41.5325881493118,-118.988912611862,0.08,0,81,5,"sand"
"101","Mahogany Creek","riffle",41.5326321227388,-118.988973891982,0.04,0,89,0.29,"gravel"
"102","Mahogany Creek","mid-channel",41.532715213193,-118.988856572853,0.09,2,90,0.5,"sand"
"103","Mahogany Creek","riffle",41.5327503919592,-118.988905597012,0.07,2,68,2,"sand"
"104","Mahogany Creek","scour_pool",41.5328244803832,-118.988788001748,0.14,0,97,1.9,"sand"
"105","Mahogany Creek","riffle",41.5327520501289,-118.988809755452,0.08,1,98,7.3,"sand"
"106","Mahogany Creek","scour_pool",41.5326078114135,-118.988817322219,0.13,2,96,3,"sand"
"107","Mahogany Creek","riffle",41.5325718035507,-118.988816218867,0.05,1,92,22.5,"sand"
"108","Mahogany Creek","scour_pool",41.5325376610304,-118.988707294112,0.17,1,92,5.5,"sand"
"109","Mahogany Creek","riffle",41.5325376610304,-118.988707294112,0.09,0,89,9.5,"sand"
"110","Mahogany Creek","scour_pool",41.5325372465185,-118.988731254425,0.13,0,93,0.79,"sand"
"111","Mahogany Creek","run",41.5326025400404,-118.988601403353,0.13,0,85,3.91,"sand"
"112","Mahogany Creek","riffle",41.5326121637336,-118.988565738648,0.09,2,89,15,"sand"
"113","Mahogany Creek","scour_pool",41.5327781364994,-118.988343079285,0.13,1,89,2.2,"sand"
"114","Mahogany Creek","riffle",41.5327873456845,-118.988331374854,0.07,0,87,6,"sand"
"115","Mahogany Creek","riffle",41.5328810950715,-118.988118488571,0.07,0,87,6,"sand"
"116","Mahogany Creek","run",41.532833806012,-118.98824889222,0.09,0,79,1.5,"sand"
